Metric,Value
route__drc_errors__iter:1,3127
route__wirelength__iter:1,2057313
route__drc_errors__iter:2,2580
route__wirelength__iter:2,2053687
route__drc_errors__iter:3,28
route__wirelength__iter:3,2050506
route__drc_errors__iter:4,0
route__wirelength__iter:4,2050483
route__drc_errors,0
route__wirelength,2050483
route__vias,287837
route__vias__singlecut,287837
route__vias__multicut,0
flow__warnings__count:DRT-0120,88
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,4465.55
design__instance__count__class:fill_cell,67161
design__instance__area__class:fill_cell,640952
timing__unannotated_net__count__corner:nom_tt_025C_3v30,166
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,166
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,166
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count,166
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29725
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29979
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.00275295
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.00263382
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.000203576
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.00263382
design_powergrid__voltage__worst,0.00263382
design_powergrid__voltage__worst__net:VDD,3.29725
design_powergrid__drop__worst,0.00275295
design_powergrid__drop__worst__net:VDD,0.00275295
design_powergrid__voltage__worst__net:VSS,0.00263382
design_powergrid__drop__worst__net:VSS,0.00263382
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.00021100000000000000591020288265298177066142670810222625732421875
ir__drop__worst,0.002749999999999999840405440210133747314102947711944580078125
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
